id ,weekday_first_reading,weekday_first_audio,weekday_alleluia_verse,weekday_alleluia_audio,weekday_responsorial_psalm,weekday_responsorial_audio,weekday_gospel,weekday_gospel_audio,weekday_cycle_num
140,1 Tim 3:1-13,,Luke 7:16,,"Ps 101:1b-2ab, 2cd-3ab, 5, 6",,Luke 7:11-17,,1
141,1 Tim 3:14-16,,"John 6:63c, 68c",,"Ps 111:1-2, 3-4, 5-6",,Luke 7:31-35,,1
142,1 Tim 4:12-16,,Matt 11:28,,"Ps 111:7-8, 9, 10",,Luke 7:36-50,,1
143,1 Tim 6:2c-12,,Matt 11:25,,"Ps 49:6-7, 8-10, 17-18, 19-20",,Luke 8:1-3,,1
144,1 Tim 6:13-16,,Luke 8:15,,"Ps 100:1b-2, 3, 4, 5",,Luke 8:4-15,,1
145,Ezra 1:1-6,,Matt 5:16,,"Ps 126:1b-2ab, 2cd-3, 4-5, 6",,Luke 8:16-18,,1
146,"Ezra 6:7-8, 12b, 14-20",,Luke 11:28,,"Ps 122:1-2, 3-4ab, 4cd-5",,Luke 8:19-21,,1
147,Ezra 9:5-9,,Mark 1:15,,"Tob 13:2, 3-4a, 6, 7, 10 [Vulg.]",,Luke 9:1-6,,1
148,Hag 1:1-8,,John 14:6,,"Ps 149:1b-2, 3-4, 5-6a+9b",,Luke 9:7-9,,1
149,Hag 2:1-9,,Mark 10:45,,"Ps 43:1, 2, 3, 4",,Luke 9:18-22,,1
150,"Zech 2:5-9, 14-15a",,2 Tim 1:10,,"Jer 31:10, 11-12ab, 13",,Luke 9:43b-45,,1
151,Zech 8:1-8,,Mark 10:45,,"Ps 102:16-18, 19-21, 29+22-23",,Luke 9:46-50,,1
152,Zech 8:20-23,,Mark 10:45,,"Ps 87:1b-3, 4-5, 6-7",,Luke 9:51-56,,1
153,Neh 2:1-8,,Phil 3:8-9,,"Ps 137:1-2, 3, 4-5, 6",,Luke 9:57-62,,1
154,"Neh 8:1-4a, 5-6, 7b-12",,Mark 1:15,,"Ps 19:8, 9, 10, 11",,Luke 10:1-12,,1
155,Bar 1:15-22,,Ps 95:8,,"Ps 79:1b-2, 3-5, 8, 9",,Luke 10:13-16,,1
156,"Bar 4:5-12, 27-29",,Matt 11:25,,"Ps 69:33-35, 36-37",,Luke 10:17-24,,1
157,"Jonah 1:1—2:2, 11",,John 13:34,,"Jonah 2:3, 4, 5, 8",,Luke 10:25-37,,1
158,Jonah 3:1-10,,Luke 11:28,,"Ps 130:1b-2, 3-4ab, 7-8",,Luke 10:38-42,,1
159,Jonah 4:1-11,,Rom 8:15bc,,"Ps 86:3-4, 5-6, 9-10",,Luke 11:1-4,,1
160,Mal 3:13-20b,,Acts 16:14b,,"Ps 1:1-2, 3, 4+6",,Luke 11:5-13,,1
161,Joel 1:13-15; 2:1-2,,John 12:31b-32,,"Ps 9:2-3, 6+16, 8-9",,Luke 11:15-26,,1
162,Joel 4:12-21,,Luke 11:28,,"Ps 97:1-2, 5-6, 11-12",,Luke 11:27-28,,1
163,Rom 1:1-7,,Ps 95:8,,"Ps 98:1bcde, 2-3ab, 3cd-4",,Luke 11:29-32,,1
164,Rom 1:16-25,,Heb 4:12,,"Ps 19:2-3, 4-5",,Luke 11:37-41,,1
165,Rom 2:1-11,,John 10:27,,"Ps 62:2-3, 6-7, 9",,Luke 11:42-46,,1
166,Rom 3:21-30,,John 14:6,,"Ps 130:1b-2, 3-4, 5-6ab",,Luke 11:47-54,,1
167,Rom 4:1-8,,Ps 33:22,,"Ps 32:1b-2, 5, 11",,Luke 12:1-7,,1
168,"Rom 4:13, 16-18",,"John 15:26b, 27a",,"Ps 105:6-7, 8-9, 42-43",,Luke 12:8-12,,1
169,Rom 4:20-25,,Matt 5:3,,"Luke 1:69-70, 71-72, 73-75",,Luke 12:13-21,,1
170,"Rom 5:12, 15b, 17-19, 20b-21",,Luke 21:36,,"Ps 40:7-8a, 8b-9, 10, 17",,Luke 12:35-38,,1
171,Rom 6:12-18,,"Matt 24:42a, 44",,"Ps 124:1b-3, 4-6, 7-8",,Luke 12:39-48,,1
172,Rom 6:19-23,,Phil 3:8-9,,"Ps 1:1-2, 3, 4+6",,Luke 12:49-53,,1
173,Rom 7:18-25a,,Matt 11:25,,"Ps 119:66, 68, 76, 77, 93, 94",,Luke 12:54-59,,1
174,Rom 8:1-11,,Ezek 33:11,,"Ps 24:1b-2, 3-4ab, 5-6",,Luke 13:1-9,,1
175,Rom 8:12-17,,"John 17:17b, 17a",,"Ps 68:2+4, 6-7ab, 20-21",,Luke 13:10-17,,1
176,Rom 8:18-25,,Matt 11:25,,"Ps 126:1b-2ab, 2cd-3, 4-5, 6",,Luke 13:18-21,,1
177,Rom 8:26-30,,2 Thess 2:14,,"Ps 13:4-5, 6",,Luke 13:22-30,,1
178,Rom 8:31b-39,,Luke 19:38; 2:14,,"Ps 109:21-22, 26-27, 30-31",,Luke 13:31-35,,1
179,Rom 9:1-5,,John 10:27,,"Ps 147:12-13, 14-15, 19-20",,Luke 14:1-6,,1
180,"Rom 11:1-2a, 11-12, 25-29",,Matt 11:29ab,,"Ps 94:12-13a, 14-15, 17-18",,"Luke 14:1, 7-11",,1
181,Rom 11:29-36,,John 8:31b-32,,"Ps 69:30-31, 33-34, 36-37",,Luke 14:12-14,,1
182,Rom 12:5-16ab,,Matt 11:28,,"Ps 131:1bcde, 2, 3",,Luke 14:15-24,,1
183,Rom 13:8-10,,1 Pet 4:14,,"Ps 112:1b-2, 4-5, 9",,Luke 14:25-33,,1
184,Rom 14:7-12,,Matt 11:28,,"Ps 27:1bcde, 4, 13-14",,Luke 15:1-10,,1
185,Rom 15:14-21,,1 John 2:5,,"Ps 98:1, 2-3ab, 3cd-4",,Luke 16:1-8,,1
186,"Rom 16:3-9, 16, 22-27",,2 Cor 8:9,,"Ps 145:2-3, 4-5, 10-11",,Luke 16:9-15,,1
187,Wis 1:1-7,,"Phil 2:15d, 16a",,"Ps 139:1b-3, 4-6, 7-8, 9-10",,Luke 17:1-6,,1
188,Wis 2:23—3:9,,John 14:23,,"Ps 34:2-3, 16-17, 18-19",,Luke 17:7-10,,1
189,Wis 6:1-11,,1 Thess 5:18,,"Ps 82:3-4, 6-7",,Luke 17:11-19,,1
190,Wis 7:22b—8:1,,John 15:5,,"Ps 119:89, 90, 91, 130, 135, 175",,Luke 17:20-25,,1
191,Wis 13:1-9,,Luke 21:28,,"Ps 19:2-3, 4-5ab",,Luke 17:26-37,,1
192,Wis 18:14-16; 19:6-9,,2 Thess 2:14,,"Ps 105:2-3, 36-37, 42-43",,Luke 18:1-8,,1
193,"1 Macc 1:10-15, 41-43, 54-57, 62-63",,John 8:12,,"Ps 119:53, 61, 134, 150, 155, 158",,Luke 18:35-43,,1
194,2 Macc 6:18-31,,1 John 4:10b,,"Ps 3:2-3, 4-5, 6-7",,Luke 19:1-10,,1
195,"2 Macc 7:1, 20-31",,John 15:16,,"Ps 17:1bcd, 5-6, 8b+15",,Luke 19:11-28,,1
196,1 Macc 2:15-29,,Ps 95:8,,"Ps 50:1b-2, 5-6, 14-15",,Luke 19:41-44,,1
197,"1 Macc 4:36-37, 52-59",,John 10:27,,"1 Chr 29:10bcd, 11abc, 11d-12a, 12bcd",,Luke 19:45-48,,1
198,1 Macc 6:1-13,,2 Tim 1:10,,"Ps 9:2-3, 4+6, 16+19",,Luke 20:27-40,,1
199,"Dan 1:1-6, 8-20",,"Matt 24:42a, 44",,"Dan 3:52, 53, 54, 55, 56",,Luke 21:1-4,,1
200,Dan 2:31-45,,Rev 2:10c,,"Dan 3:57, 58, 59, 60, 61",,Luke 21:5-11,,1
201,"Dan 5:1-6, 13-14, 16-17, 23-28",,Rev 2:10c,,"Dan 3:62, 63, 64, 65, 66, 67",,Luke 21:12-19,,1
202,Dan 6:12-28,,Luke 21:28,,"Dan 3:68, 69, 70, 71, 72, 73, 74",,Luke 21:20-28,,1
203,Dan 7:2-14,,Luke 21:28,,"Dan 3:75, 76, 77, 78, 79, 80, 81",,Luke 21:29-33,,1
204,Dan 7:15-27,,Luke 21:36,,"Dan 3:82, 83, 84, 85, 86, 87",,Luke 21:34-36,,1
205,1 Sam 1:1-8,,Mark 1:15,,"Ps 116:12-13, 14-17, 18-19",,Mark 1:14-20,,2
206,1 Sam 1:9-20,,1 Thess 2:13,,"1 Sam 2:1, 4-5, 6-7, 8abcd",,Mark 1:21-28,,2
207,"1 Sam 3:1-10, 19-20",,John 10:27,,"Ps 40:2+5, 7-8a, 8b-9, 10",,Mark 1:29-39,,2
208,1 Sam 4:1-11,,Matt 4:23,,"Ps 44:10-11, 14-15, 24-25",,Mark 1:40-45,,2
209,"1 Sam 8:4-7, 10-22a",,Luke 7:16,,"Ps 89:16-17, 18-19",,Mark 2:1-12,,2
210,"1 Sam 9:1-4, 17-19; 10:1",,Luke 4:18,,"Ps 21:2-3, 4-5, 6-7",,Mark 2:13-17,,2
211,1 Sam 15:16-23,,Heb 4:12,,"Ps 50:8-9, 16bc-17, 21+23",,Mark 2:18-22,,2
212,1 Sam 16:1-13,,Eph 1:17-18,,"Ps 89:20, 21-22, 27-28",,Mark 2:23-28,,2
213,"1 Sam 17:32-33, 37, 40-51",,Matt 4:23,,"Ps 144:1b, 2, 9-10",,Mark 3:1-6,,2
214,1 Sam 18:6-9; 19:1-7,,2 Tim 1:10,,"Ps 56:2-3, 9-10a, 10b-11, 12-13",,Mark 3:7-12,,2
215,1 Sam 24:3-21,,2 Cor 5:19,,"Ps 57:2, 3-4, 6+11",,Mark 3:13-19,,2
216,"2 Sam 1:1-4, 11-12, 19, 23-27",,Acts 16:14b,,"Ps 80:2-3, 5-7",,Mark 3:20-21,,2
217,"2 Sam 5:1-7, 10",,2 Tim 1:10,,"Ps 89:20, 21-22, 25-26",,Mark 3:22-30,,2
218,"2 Sam 6:12b-15, 17-19",,Matt 11:25,,"Ps 24:7, 8, 9, 10",,Mark 3:31-35,,2
219,2 Sam 7:4-17,,no biblical reference,,"Ps 89:4-5, 27-28, 29-30",,Mark 4:1-20,,2
